procedure,subgroup,n,mae_mg_week,rmse_mg_week,r2,pw20,suppressed_n_lt_30,subgroup_type
pharmacogenomic_ml,Available,3966,9.019776310608158,13.336032104913476,0.4015671968835822,0.42788703983862836,False,vkorc1_availability
pharmacogenomic_ml,Missing,1444,11.09866478695338,14.374331417684884,0.13633566913319117,0.3621883656509695,False,vkorc1_availability
training_mean,Available,3966,12.989068104571379,17.654037522137955,-0.04869746290714949,0.3119011598587998,False,vkorc1_availability
training_mean,Missing,1444,11.826833157294443,15.591157623867131,-0.016076484636958766,0.3365650969529086,False,vkorc1_availability
training_median,Available,3966,12.511867552976085,17.644516876126886,-0.04756666378042973,0.3124054462934947,False,vkorc1_availability
training_median,Missing,1444,11.85246972770374,16.141771168902167,-0.08911075990409434,0.36634349030470914,False,vkorc1_availability
clinical_ml,A/A,1433,12.95826497756196,15.17310573955196,-2.0014871489782218,0.19678995115143055,False,vkorc1
clinical_ml,A/G,1371,9.794778390906535,14.64977404879139,0.12388487239995227,0.4084609773887673,False,vkorc1
clinical_ml,G/G,1162,13.064827201134925,18.808391066874,0.015454024643847375,0.3898450946643718,False,vkorc1
clinical_ml,Unknown,1444,10.928760685474561,14.827007334870872,0.08108216464138074,0.37534626038781166,False,vkorc1
fixed_35_mg_week,A/A,1433,15.348820655966504,17.082656010038146,-2.804506328339769,0.13049546406140963,False,vkorc1
fixed_35_mg_week,A/G,1371,11.310360529431456,16.17785871143129,-0.06841850861020737,0.36542669584245074,False,vkorc1
fixed_35_mg_week,G/G,1162,14.01029468954615,20.381521117506193,-0.15612793614058584,0.3812392426850258,False,vkorc1
fixed_35_mg_week,Unknown,1444,12.32439493545997,15.64978421503482,-0.023732246876277063,0.32825484764542934,False,vkorc1
iwpc_clinical,A/A,1223,7.597510359145039,9.843920429886003,-0.23750600792166887,0.3704006541291905,False,vkorc1
iwpc_clinical,A/G,1214,9.264352311891125,14.292892737033187,0.15933021569027606,0.41186161449752884,False,vkorc1
iwpc_clinical,G/G,1053,13.179710559634467,18.953780527211386,-0.010430162126019216,0.3922127255460589,False,vkorc1
iwpc_clinical,Unknown,812,10.577889056014229,14.421492796363623,0.1555860596479678,0.4039408866995074,False,vkorc1
iwpc_pharmacogenetic,A/A,1223,6.011286723362705,8.083198555904886,0.16559361096278302,0.4186426819296811,False,vkorc1
iwpc_pharmacogenetic,A/G,1214,8.274387875746475,13.550047648544696,0.2444437300239627,0.47034596375617793,False,vkorc1
iwpc_pharmacogenetic,G/G,1053,11.000282858885539,16.03679328552654,0.2766480289538551,0.49097815764482433,False,vkorc1
iwpc_pharmacogenetic,Unknown,812,10.132610782352204,13.604414538717993,0.24855937023118302,0.42610837438423643,False,vkorc1
pharmacogenomic_ml,A/A,1433,6.582151030103664,8.522229169510197,0.05312219532931095,0.39986043265875787,False,vkorc1
pharmacogenomic_ml,A/G,1371,9.242602914828222,14.197662342020667,0.1771266201448476,0.43180160466812545,False,vkorc1
pharmacogenomic_ml,G/G,1162,11.762996407490462,16.721836014167845,0.2217831513197941,0.4578313253012048,False,vkorc1
pharmacogenomic_ml,Unknown,1444,11.09866478695338,14.374331417684884,0.13633566913319117,0.3621883656509695,False,vkorc1
training_mean,A/A,1433,13.05435339170224,14.851491952412813,-1.8755947891338978,0.21423586880669923,False,vkorc1
training_mean,A/G,1371,10.637816030935815,15.793590035793766,-0.018265542102216425,0.4026258205689278,False,vkorc1
